325,1,2
442,2,15
449,0,15
282,1,6
380,6,60
702,0,10
335,0,2
389,0,21
436,7,15
445,1,21
455,1,3
17,0,6
218,5,15
609,0,10
42,0,18
81,3,44
20,1,21
381,5,46
689,0,1
238,20,21
745,0,1
708,0,3
606,1,4
64,13,7
196,8,32
301,0,0
681,33,65
346,1,19
77,0,110
127,3,50
553,5,33
641,11,49
636,1,5
120,0,1
53,3,26
110,2,4
93,2,20
474,13,101
735,10,12
390,3,128
616,2,26
235,14,25
464,5,15
495,0,13
333,1,1
440,0,9
563,0,0
16,3,102
600,4,48
30,0,64
671,9,28
95,1,13
249,0,2
532,1,7
623,2,44
367,0,8
102,23,110
72,3,12
213,0,1
272,1,23
366,0,68
112,1,18
190,0,15
239,3,21
345,9,15
104,1,40
633,0,6
290,13,40
568,3,7
375,10,8
628,0,62
55,9,27
313,2,7
311,0,4
257,1,2
719,11,12
223,0,25
128,7,9
705,10,41
163,0,8
289,0,6
334,0,25
247,4,33
559,2,4
174,2,7
317,0,5
508,0,10
510,16,64
694,4,21
228,1,81
38,8,23
268,2,1
400,15,104
96,0,1
521,9,16
237,2,0
448,0,54
107,4,13
621,1,45
617,15,129
51,2,1
24,0,43
137,0,8
322,0,1
487,3,61
587,7,3
577,2,26
34,6,19
625,1,30
647,9,111
153,4,14
494,0,7
503,0,26
182,0,8
582,1,21
524,6,15
717,19,25
23,3,81
201,5,35
475,1,31
649,0,8
129,5,34
652,3,25
716,13,105
357,1,43
43,8,24
197,1,53
611,4,11
297,3,8
149,1,16
226,3,37
427,6,35
263,8,42
265,5,22
230,4,23
114,1,85
206,11,51
309,0,11
394,2,38
181,0,3
632,2,72
564,0,0
743,75,59
45,2,6
746,0,1
189,7,31
551,0,16
655,1,37
340,1,27
417,21,120
395,4,47
539,6,41
622,0,7
157,0,25
387,6,86
12,7,17
193,16,153
509,0,2
704,1,27
241,3,1
605,4,0
214,0,5
70,2,18
131,6,137
665,1,66
150,10,37
413,11,16
631,2,33
2,11,72
330,0,15
165,6,7
179,3,40
703,7,30
144,8,74
48,7,14
342,4,81
173,7,24
191,6,76
362,0,31
604,7,73
518,4,56
620,1,40
331,2,37
211,0,6
287,20,91
327,0,7
267,1,33
324,0,1
141,4,8
5,8,74
266,1,9
115,9,23
421,12,112
54,1,10
386,14,76
438,12,6
658,6,21
673,6,30
429,0,0
105,2,36
589,1,15
79,3,5
488,0,5
565,5,1
720,2,30
103,13,51
134,0,11
219,6,34
529,2,6
507,0,11
277,0,14
667,1,72
320,6,39
339,5,74
378,4,19
500,0,40
669,0,57
321,0,16
511,13,65
142,0,62
599,11,30
91,0,2
217,0,14
177,12,3
574,23,12
364,7,2
460,5,15
323,3,4
74,14,22
486,1,81
312,2,43
627,2,96
550,0,1
167,3,8
264,2,21
75,7,15
368,0,9
523,10,1
73,9,1
369,0,12
678,5,38
185,1,11
398,9,75
536,6,11
629,9,120
415,2,32
528,3,54
594,3,12
657,13,115
186,2,10
615,8,23
71,2,31
571,0,17
584,0,4
603,2,12
552,4,1
337,1,29
69,0,1
437,3,28
32,2,17
224,8,27
567,9,10
36,12,30
108,0,64
590,24,39
695,12,44
300,6,31
723,6,26
596,0,0
260,4,15
49,7,9
273,1,2
391,0,10
501,6,12
698,0,12
696,3,1
677,0,19
310,3,22
468,2,12
499,0,18
712,0,45
25,3,46
37,0,5
328,8,7
370,13,102
420,0,5
200,6,13
414,8,69
302,1,0
208,22,60
248,5,44
659,1,11
250,1,7
198,15,36
640,2,27
433,1,4
143,8,31
422,10,80
222,7,22
646,8,56
283,3,46
473,2,46
459,3,15
591,2,34
123,0,1
269,24,0
393,6,11
547,1,18
94,2,10
619,3,92
19,11,33
68,0,7
126,3,68
100,2,24
469,0,13
210,0,33
461,3,19
21,18,111
435,2,2
314,1,0
85,0,37
216,1,39
225,4,93
377,3,48
356,0,1
169,1,0
454,0,15
668,4,15
423,1,50
692,0,7
738,1,26
231,9,24
382,8,58
15,1,38
379,5,50
624,0,28
50,0,0
316,0,11
701,0,0
83,10,24
670,1,23
0,4,63
4,0,0
542,4,17
121,0,3
106,0,4
288,2,34
276,12,14
570,15,89
60,9,14
404,0,1
588,0,0
634,3,63
718,0,1
388,0,13
410,0,10
315,5,32
13,3,36
293,5,4
58,1,7
204,1,16
92,1,8
660,15,45
14,19,72
284,7,8
585,1,6
722,7,48
109,6,35
136,0,7
374,1,4
626,0,41
575,0,33
253,3,17
88,0,30
65,4,17
721,2,63
376,5,4
392,4,35
650,0,3
326,0,5
557,3,6
648,11,33
439,4,19
148,10,8
531,3,33
352,0,19
666,0,5
725,4,25
117,1,3
365,8,65
384,3,25
99,3,54
194,3,30
246,8,45
299,15,38
465,0,4
332,1,19
138,2,13
635,0,23
195,5,53
199,3,46
176,6,14
116,4,21
338,1,3
612,1,14
90,0,59
318,2,18
244,5,7
572,46,33
62,28,41
56,1,17
522,0,5
715,9,50
517,2,20
59,4,20
739,2,20
554,0,0
630,1,17
580,10,47
579,9,68
690,0,0
360,1,35
29,1,20
527,1,22
35,5,1
706,0,5
520,6,45
688,1,4
514,0,11
727,3,10
451,0,79
699,1,36
707,9,8
18,9,50
406,2,27
341,2,137
586,2,70
261,3,2
569,5,8
122,18,39
168,4,6
601,2,27
178,1,19
490,0,4
162,18,24
457,1,54
124,1,3
663,5,53
733,0,7
709,0,0
161,9,2
350,0,55
306,0,12
558,4,0
145,0,10
512,0,3
676,1,41
656,2,1
458,0,0
595,12,42
203,10,46
87,7,34
614,2,0
489,1,3
608,0,15
39,2,18
549,0,0
456,3,62
233,5,20
296,2,39
548,0,0
11,6,66
63,2,1
493,6,16
358,0,37
22,2,15
560,2,0
215,0,35
425,22,87
504,0,9
57,5,39
209,1,20
546,1,19
408,8,127
593,2,49
618,0,8
383,1,6
471,0,1
426,3,5
453,3,64
544,0,18
158,0,4
140,0,57
146,14,17
3,8,48
80,2,50
180,9,7
409,3,24
506,3,50
734,11,71
101,16,29
147,2,58
679,0,2
355,0,19
229,8,41
281,3,6
513,2,30
691,1,17
26,2,37
385,12,42
207,0,30
402,0,5
556,0,7
740,1,40
271,7,43
687,6,3
155,1,12
344,1,39
477,2,10
639,12,54
583,0,84
407,2,13
243,9,6
274,8,32
505,2,32
654,7,0
6,2,29
132,3,49
152,3,68
359,1,72
674,2,53
119,0,1
40,2,43
372,0,0
8,19,101
187,1,3
183,8,17
130,1,33
566,1,2
47,8,6
741,2,8
476,6,22
371,1,28
443,12,62
411,3,38
227,4,20
491,8,187
597,0,9
234,11,230
9,1,48
192,6,83
347,0,24
351,1,8
135,1,72
256,11,7
724,0,19
653,3,13
160,0,16
462,10,34
479,2,117
747,3,17
156,2,9
295,5,46
172,2,24
428,16,44
171,0,3
516,1,69
82,8,125
97,0,3
555,0,19
278,17,55
254,3,19
111,1,22
700,0,17
52,4,2
416,0,23
482,2,54
133,7,107
113,0,0
294,9,20
252,1,4
480,3,58
684,5,25
713,0,58
285,2,0
291,7,1
361,4,74
664,7,12
662,0,1
602,4,61
525,22,267
431,0,18
672,0,42
308,8,8
348,0,6
446,0,4
573,12,71
28,13,25
363,2,1
497,0,6
598,1,2
303,9,30
638,0,40
711,3,39
305,6,11
744,11,51
403,11,52
710,0,2
275,3,15
373,10,6
540,4,19
645,4,49
729,1,7
637,10,55
298,11,17
644,0,9
466,0,1
452,9,11
726,0,4
212,4,27
685,2,2
545,0,1
686,0,0
405,5,11
485,4,29
396,2,31
450,1,2
78,0,3
175,4,35
205,2,84
279,6,13
742,0,5
526,2,83
304,5,10
7,0,1
732,15,62
519,0,0
399,3,20
537,0,9
484,6,61
496,9,38
714,11,98
607,2,16
728,0,2
